Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
ABU MADI-EL QARA,ABU MADI (LEVEL II),EGYPT,AFRICA,STRIKE-SLIP,ONSHORE,GAS,32974.5,NEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,35.1,20.1,22.0,200.0,WRENCH,FOLD,3000.9
ABU MADI-EL QARA,ABU MADI (LEVEL III),EGYPT,AFRICA,STRIKE-SLIP,ONSHORE,GAS,38902.5,NEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,155.2,125.0,20.0,300.0,WRENCH,FOLD,3200.9
AGBADA,AGBADA (D20.5X),NIGERIA,AFRICA,GRAVITY,ONSHORE,OIL,11115.0,NEOGENE,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,33.5,,30.0,1650.0,DELTA,FOLD,2158.5
AGBAMI,AKATA (14MY-16MY-17MY),NIGERIA,AFRICA,GRAVITY,OFFSHORE,OIL,111150.0,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,457.3,112.8,,500.0,THRUST,FOLD,1478.7
AHWAZ,ASMARI,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,173888.0,PALEOGENE-NEOGENE,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITIC LIMESTONE,INTERCRYSTALLINE,365.9,131.1,19.0,,FORELAND,FOLD,2311.0
AHWAZ,ILAM,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,CHALKY LIMESTONE,CHALKY MICROPOROSITY,170.7,88.1,14.0,,FORELAND,FOLD,3073.2
AHWAZ,SARVAK,IRAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,CHALKY LIMESTONE,CHALKY MICROPOROSITY,704.3,199.7,9.0,,FORELAND,FOLD,3256.1
AIN ZALAH,QAMCHUQA,IRAQ,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,56760.60000000001,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITIC LIMESTONE,VUGGY/MOLDIC,,100.6,1.3,,FORELAND,FOLD,2195.1
AIN ZALAH,SHIRANISH,IRAQ,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,56760.60000000001,CRETACEOUS,FORESLOPE,PELAGIC,MARL,FRACTURE,,91.5,3.3,1.0,FORELAND,FOLD,1484.8
AL HUWAISAH,SHUAIBA,OMAN,MIDDLE EAST,COMPRESSION,ONSHORE,OIL,33569.77,CRETACEOUS,ORGANIC BUILDUP,SHELF-,LIMESTONE,MOLDIC/VUGGY,76.2,30.5,21.0,60.0,SALT,FOLD,1510.7
