Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
SHENGTUO,SHAHEJIE,CHINA,FAR EAST,EXTENSION,ONSHORE,OIL,44682.3,PALEOGENE,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,701.2,32.9,28.0,4000.0,RIFT,FOLD,
SHONGALOO,SMACKOVER,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,13338.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTERPARTICLE,,,9.0,56.0,SALT,FAULT,3269.8
SHUANGHE,HETAOYUAN,CHINA,FAR EAST,EXTENSION,ONSHORE,OIL,18920.2,PALEOGENE,LACUSTRINE,LACUSTRINE FAN-DELTA,SANDSTONE,SECONDARY INTERGRANULAR,,,18.9,264.0,RIFT,DEPOSITIONAL,1158.5
SIDI EL ITAYEM,EL GARIA,TUNISIA,AFRICA,INVERSION,ONSHORE,OIL,18895.5,PALEOGENE,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,LIMESTONE,INTRAPARTICLE,57.0,,10.0,4.0,INVERSION,FOLD,2300.6
SIDI EL KILANI,ABIOD,TUNISIA,AFRICA,STRIKE-SLIP,ONSHORE,OIL,11362.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,CHALKY LIMESTONE,CHALKY MICROPOROSITY,535.1,,22.0,0.5,WRENCH,FAULT,1530.5
SIDKI,NUBIA,EGYPT,AFRICA,EXTENSION,OFFSHORE,OIL,4940.0,PALEOZOIC-CRETACEOUS,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,259.1,213.4,13.0,60.0,RIFT,FAULT,2782.0
SIRI,HEIMDAL-HERMOD,DENMARK,EUROPE,NVERSION,OFFSHORE,OIL,9139.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,GLAUCONITIC SANDSTONE,PRIMARY INTERGRANULAR,100.6,,31.0,60.0,INVERSION,DEPOSITIONAL,1990.9
SIRIKIT,LAN KRABU,THAILAND,FAR EAST,STRIKE-SLIP,ONSHORE,OIL,29640.0,NEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,540.2,79.9,20.0,50.0,WRENCH,FOLD,1409.5
SITIO GRANDE,TAMABRA,MEXICO,LATIN AMERICA,COMPRESSION,ONSHORE,OIL,19191.9,CRETACEOUS,FORESLOPE,DEBRIS-FLOW,DOLOMITE,VUGGY/CAVERNOUS,396.3,125.0,8.0,135.0,WRENCH,FOLD,3792.7
SKJOLD,CHALK GROUP (HOD-TOR-EKOFISK),DENMARK,EUROPE,INVERSION,OFFSHORE,OIL,4940.0,CRETACEOUS-PALEOGENE,FORESLOPE,PELAGIC,CHALK,INTERPARTICLE MICROPOROSITY,,,21.0,1.0,SALT,FOLD,1411.6
SLAUGHTER,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,247000.0,PERMIAN,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITE,MICRO-INTERCRYSTALLINE,274.4,21.3,12.0,10.0,FORELAND,DEPOSITIONAL,1554.9
SLEIPNER OST,HUGIN,NORWAY,EUROPE,EXTENSION,OFFSHORE,GAS-CONDENSATE,13426.92,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,35.1,,22.0,200.0,RIFT,FAULT,2563.7
SLEIPNER OST,TY,NORWAY,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,36010.13,PALEOGENE,DEEP MARINE,SUBMARINE FAN LOBE,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,100.6,,25.0,400.0,INVERSION,FOLD,2178.4
SLEIPNER VEST,HUGIN,NORWAY,EUROPE,EXTENSION,OFFSHORE,GAS-CONDENSATE,48831.9,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,122.0,,20.0,100.0,RIFT,FAULT,3265.9
SMORBUKK,BAT-FANGST,NORWAY,EUROPE,EXTENSION,OFFSHORE,GAS-CONDENSATE,74100.0,TRIASSIC-JURASSIC,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,450.0,,10.0,40.0,RIFT,FAULT,3430.8
SMORBUKK SOR,BAT-FANGST,NORWAY,EUROPE,EXTENSION,OFFSHORE,OIL,24700.0,TRIASSIC-JURASSIC,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,450.0,,11.0,40.0,RIFT,FOLD,3480.8
SNAPPER,LATROBE (N-1 UNIT),AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,GAS-CONDENSATE,31739.5,PALEOGENE,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,250.0,120.1,24.0,2000.0,INVERSION,EROSIONAL,1122.6
SNIPE LAKE,SWAN HILLS (BEAVERHILL LAKE POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,44151.25,DEVONIAN,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,INTERPARTICLE/INTRASKELETAL,56.4,10.4,6.8,54.0,FORELAND,DEPOSITIONAL,2591.5
SNORRE,LUNDE,NORWAY,EUROPE,EXTENSION,OFFSHORE,OIL,30504.5,TRIASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,838.4,,24.0,380.0,RIFT,EROSIONAL,1962.2
SNORRE,STATFJORD,NORWAY,EUROPE,EXTENSION,OFFSHORE,OIL,18278.0,TRIASSIC-JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,70.1,,23.0,460.0,RIFT,EROSIONAL,1997.3
SOUTH BELRIDGE,BELRIDGE DIATOMITE (MONTEREY-ETCHEGOIN),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,21489.0,NEOGENE,DEEP MARINE,MUD-RICH SLOPE,DIATOMITE,MICROPOROSITY,304.9,274.4,55.0,1.5,THRUST,FOLD,182.9
SOUTH BELRIDGE,TULARE,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,21489.0,NEOGENE,FLUVIAL,BRAIDED RIVER,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,,61.0,36.0,3070.0,THRUST,FOLD,122.0
SOUTH COWDEN,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,53352.00000000001,PERMIAN,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,DOLOMITE,INTERPARTICLE,122.0,27.4,8.8,15.0,FORELAND,DEPOSITIONAL,1250.0
SOUTH FURIOUS,STAGE IVA,MALAYSIA,FAR EAST,STRIKE-SLIP,OFFSHORE,OIL,9200.75,NEOGENE,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,,,25.0,225.0,WRENCH,FOLD,283.5
SOUTH KHYLCHUYU,UNNAMED,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,69160.0,PERMIAN,ORGANIC BUILDUP,SHELF-,LIMESTONE,MOLDIC,64.0,,17.0,115.0,INVERSION,FOLD,2128.7
SOUTH LAKE ARTHUR,FRIO (MIOGYP),USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,11584.3,PALEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,182.9,25.0,19.0,100.0,DELTA,FOLD,5030.5
SOUTH MORECAMBE,SHERWOOD,UK,EUROPE,INVERSION,OFFSHORE,GAS,51129.00000000001,TRIASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,304.9,14.0,200.0,RIFT,FAULT,701.2
SOUTH TIMBALIER 295,K SANDS,USA,NORTH AMERICA,GRAVITY,OFFSHORE,OIL,2136.55,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,182.9,32.6,31.0,500.0,DELTA,FOLD,3021.3
SOUTHWEST AMPA,CYCLE V,BRUNEI,FAR EAST,STRIKE-SLIP,OFFSHORE,OIL,45695.0,NEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,2500.0,,22.0,200.0,WRENCH,FOLD,975.6
SPINDLE,PIERRE SHALE (TERRY AND HYGIENE SAND),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,194438.4,CRETACEOUS,COASTAL,SHOREFACE-SHELF,LOW-RESISTIVITY SANDSTONE,MICROPOROSITY,,12.2,14.3,1.4,FORELAND,DIAGENETIC,1311.0
SPRABERRY,DEAN,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,37148.8,PERMIAN,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,61.0,1.5,7.0,,FORELAND,EROSIONAL,2347.6
SPRABERRY,LOWER SPRABERRY,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,1358500.0,PERMIAN,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,61.0,7.6,10.0,,FORELAND,EROSIONAL,1524.4
SPRABERRY,UPPER SPRABERRY,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,1235000.0,PERMIAN,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,76.2,,10.0,,FORELAND,EROSIONAL,1524.4
SREDNEBOTUOBIN,BOTUOBIN,RUSSIA,FORMER SOVIET UNION,INVERSION,ONSHORE,OIL,597740.0,PROTEROZOIC,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,30.5,7.0,18.0,120.0,INVERSION,FOLD,1880.5
SREDNEBOTUOBIN,OSA,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,276640.0,CAMBRIAN,ORGANIC BUILDUP,SHELF-,LIMESTONE,INTERPARTICLE,61.0,6.7,,15.0,INTRACRATONIC,FOLD,1445.4
ST JOSEPH,STAGE IVC,MALAYSIA,FAR EAST,STRIKE-SLIP,OFFSHORE,OIL,2964.0,NEOGENE,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,,,21.0,250.0,WRENCH,FOLD,355.2
STAG,M. AUSTRALIS,AUSTRALIA,FAR EAST,INVERSION,OFFSHORE,OIL,13399.75,CRETACEOUS,COASTAL,SHOREFACE-SHELF,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,22.0,17.1,35.0,2000.0,RIFT,FOLD,627.1
STATFJORD,BRENT,NORWAY /UK,EUROPE,EXTENSION,OFFSHORE,OIL,51870.00000000001,JURASSIC,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,213.4,149.4,27.0,2500.0,RIFT,EROSIONAL,2215.5
STATFJORD,STATFJORD,NORWAY /UK,EUROPE,EXTENSION,OFFSHORE,OIL,27170.0,TRIASSIC-JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,225.6,109.8,22.0,470.0,RIFT,EROSIONAL,2430.5
STRACHAN,LEDUC,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,GAS,17290.0,DEVONIAN,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,DOLOMITE,VUGGY/MOLDIC,274.4,163.1,7.8,11.0,FORELAND,DEPOSITIONAL,3679.3
STRATTON,MIDDLE FRIO,USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,98800.0,PALEOGENE,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,762.2,,19.0,30.0,DELTA,FOLD,1402.4
SUFFIELD,UPPER MANNVILLE (J POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,9835.54,CRETACEOUS,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,22.1,11.1,27.0,1000.0,FORELAND,EROSIONAL,899.4
SUI,LAKI (SUI MAIN LIMESTONE),PAKISTAN,FAR EAST,COMPRESSION,ONSHORE,GAS,116090.0,PALEOGENE,ORGANIC BUILDUP,MUD-RICH SKELETAL BANK,CHALKY LIMESTONE,CHALKY MICROPOROSITY,,61.0,11.0,3.5,FORELAND,FOLD,1219.5
SUIZHONG 36-1,DONGYING,CHINA,FAR EAST,EXTENSION,OFFSHORE,OIL,26429.0,PALEOGENE,LACUSTRINE,LACUSTRINE RIVER-DELTA,SANDSTONE,PRIMARY INTERGRANULAR,298.8,48.8,32.0,2600.0,RIFT,FOLD,1298.5
SUNNILAND TREND,SUNNILAND LIMESTONE (SUNNILAND FIELD),USA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,5137.6,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,INTERPARTICLE,,,15.0,65.0,PASSIVE MARGIN,DEPOSITIONAL,3546.3
SUNNILAND TREND,SUNNILAND LIMESTONE (SUNOCO FELDA FIELD),USA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,12844.0,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,INTERPARTICLE,,3.4,15.0,60.0,PASSIVE MARGIN,FOLD,3476.2
SUNNILAND TREND,SUNNILAND LIMESTONE (WEST FELDA FIELD),USA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,18525.0,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,INTERPARTICLE,24.4,5.2,15.0,90.0,PASSIVE MARGIN,FOLD,3464.6
SUNRISE-TROUBADOUR,PLOVER,AUSTRALIA,FAR EAST,EXTENSION,OFFSHORE,GAS-CONDENSATE,610090.0,JURASSIC,COASTAL,STRANDPLAIN,SANDSTONE,PRIMARY INTERGRANULAR,180.2,85.1,14.0,28.0,WRENCH,FOLD,2030.5
SUTORMIN,MEGION-VARTOV (B7-B11),RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,22724.0,CRETACEOUS,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,,29.6,19.0,71.0,INTRACRATONIC,FOLD,2469.5
SWAN HILLS,SWAN HILLS,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,458827.2,DEVONIAN,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,INTERPARTICLE/INTRASKELETAL,,16.5,7.8,20.0,FORELAND,DEPOSITIONAL,2469.5
SZEGHALOM,UNNAMED,HUNGARY,EUROPE,INVERSION,ONSHORE,GAS-CONDENSATE,20130.5,PRECAMBRIAN/NEOGENE,BASEMENT,NOT APPLICABLE,BASEMENT,INTERCRYSTALLINE,182.9,,2.9,,BACKARC,EROSIONAL,1841.5
TABER NORTH,LOWER MANNVILE (O POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,2763.93,CRETACEOUS,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,57.9,5.5,17.0,1000.0,FORELAND,EROSIONAL,929.9
TABER NORTH,UPPER MANNVILE (A POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,2842.97,CRETACEOUS,COASTAL,ESTUARY,SANDSTONE,PRIMARY INTERGRANULAR,50.3,10.7,25.0,2000.0,FORELAND,EROSIONAL,929.9
TABLELAND,WINNIPEGOSIS,CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,308.75,DEVONIAN,ORGANIC BUILDUP,REEF MOUND,DOLOMITE,INTERPARTICLE,29.3,18.9,12.2,,INTRACRATONIC,DEPOSITIONAL,2570.1
TAGLU,REINDEER,CANADA,NORTH AMERICA,INVERSION,ONSHORE,GAS,20624.5,PALEOGENE,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,600.6,130.2,17.0,150.0,DELTA,FAULT,2250.6
TAKULA,VERMELHA,ANGOLA,AFRICA,GRAVITY,OFFSHORE,OIL,27170.0,CRETACEOUS,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,167.7,53.4,25.0,1000.0,PASSIVE MARGIN,FOLD,873.5
TALCO,PALUXY,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,23465.0,CRETACEOUS,COASTAL,FLUVIAL-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,83.8,13.4,25.0,2460.0,SALT,FAULT,1237.5
TALIN,TYUMEN (JUK10-JUK11),RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,832390.0000000001,JURASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,PRIMARY INTERGRANULAR,33.5,20.1,15.0,160.0,INTRACRATONIC,DEPOSITIONAL,2560.7
TAMBAREDJO,SARAMACCA,SURINAME,LATIN AMERICA,STRIKE-SLIP,ONSHORE,OIL,116090.0,PALEOGENE,COASTAL,STRANDPLAIN,SANDSTONE,PRIMARY INTERGRANULAR,39.6,5.0,35.0,,WRENCH,EROSIONAL,274.4
TANGENT,WABAMUM,CANADA,NORTH AMERICA,EXTENSION,ONSHORE,OIL,12350.0,DEVONIAN,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,DOLOMITE,INTERCRYSTALLINE,222.6,39.6,5.0,0.3,FORELAND,DIAGENETIC,1798.8
TANJUNG,LOWER TANJUNG,INDONESIA,FAR EAST,INVERSION,ONSHORE,OIL,8237.45,CRETACEOUS-PALEOGENE,COASTAL,COASTAL PLAIN,SANDSTONE,PRIMARY INTERGRANULAR,,,27.0,,THRUST,FOLD,800.3
TAPIS,LOWER J,MALAYSIA,FAR EAST,INVERSION,OFFSHORE,OIL,53105.00000000001,NEOGENE,COASTAL,SHOREFACE-SHELF,LOW-RESISTIVITY SANDSTONE,PRIMARY INTERGRANULAR,,,20.0,500.0,INVERSION,FOLD,1286.3
TARASOV,MEGION-VARTOV,RUSSIA,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,185250.0,CRETACEOUS,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,649.4,,17.0,48.0,INTRACRATONIC,FOLD,2240.9
TEAGUE TOWNSITE,COTTON VALLEY LIME,USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,39520.0,JURASSIC,HIGH-ENERGY CARBONATE SAND,HIGH-ENERGY RAMP SAND,CHALKY LIMESTONE,CHALKY MICROPOROSITY,106.7,22.0,10.0,0.1,SALT,DEPOSITIONAL,3628.0
TEAK,GROS MORNE-MAYARO,TRINIDAD AND TOBAGO,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,10127.0,NEOGENE,COASTAL,WAVE-DOMINATED DELTA,SANDSTONE,PRIMARY INTERGRANULAR,3353.7,,25.0,300.0,WRENCH,FOLD,1161.6
TELFORD-MARMION,PIPER,UK,EUROPE,INVERSION,OFFSHORE,OIL,7410.000000000001,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,,,17.5,,RIFT,EROSIONAL,2685.1
TEMBUNGO,STAGE IVD,MALAYSIA,FAR EAST,STRIKE-SLIP,OFFSHORE,OIL,11115.0,NEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,304.9,,25.0,,WRENCH,FOLD,1737.8
TEMSAH,SIDI SALIM,EGYPT,AFRICA,STRIKE-SLIP,OFFSHORE,GAS-CONDENSATE,43225.0,NEOGENE,DEEP MARINE,SUBMARINE CANYON,SANDSTONE,PRIMARY INTERGRANULAR,100.0,39.9,24.5,390.0,WRENCH,FOLD,3777.4
TENGE,UNITS XIIIB-XXIII,KAZAKHSTAN,FORMER SOVIET UNION,INVERSION,ONSHORE,GAS,25441.0,JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,SECONDARY INTERGRANULAR,,,17.0,100.0,INVERSION,FOLD,1539.6
TENGIZ,NUMEROUS,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,244530.0,CARBONIFEROUS,ORGANIC BUILDUP,REEF-RIMMED SKELETAL BANK,LIMESTONE,VUGGY/MOLDIC/CAVERNOUS,1524.4,,6.3,10.0,SUB-SALT,DEPOSITIONAL,3878.0
TERN,BRENT,UK,EUROPE,INVERSION,OFFSHORE,OIL,6100.900000000002,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,83.2,51.8,22.0,350.0,RIFT,FAULT,2211.0
TERRA NOVA,JEANNE DARC,CANADA,NORTH AMERICA,EXTENSION,OFFSHORE,OIL,41372.5,JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,200.0,,18.0,700.0,RIFT,FAULT,2985.7
THELMA,BRAE,UK,EUROPE,INVERSION,OFFSHORE,OIL,,JURASSIC,DEEP MARINE,SUBMARINE FAN LOBE,CONGLOMERATE,PRIMARY INTERGRANULAR,,,13.0,31.0,INVERSION,FOLD,3320.1
THISTLE,BRENT,UK,EUROPE,EXTENSION,OFFSHORE,OIL,9880.0,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,144.8,115.9,24.0,1200.0,RIFT,EROSIONAL,2429.9
THREE BAR,THIRTYONE,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,12745.2,DEVONIAN,DEEP MARINE,MUD-RICH SLOPE,CHERT,MOLDIC,39.6,21.3,15.0,5.0,FORELAND,EROSIONAL,2469.5
TIA JUANA,LA ROSA-LAGUNILLAS (LL-03 AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE-OFFSHORE,OIL,182780.0,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,152.4,,31.0,350.0,WRENCH,DEPOSITIONAL,518.3
TIA JUANA,LA ROSA-LAGUNILLAS (LL-04 AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE-OFFSHORE,OIL,,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,152.4,,,530.0,WRENCH,DEPOSITIONAL,426.8
TIA JUANA,LA ROSA-LAGUNILLAS (LL-05 AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE-OFFSHORE,OIL,74100.0,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,152.4,,31.0,350.0,WRENCH,SUBTLE STRUCTURE,914.6
TIA JUANA,LA ROSA-LAGUNILLAS (NORTH MIOCENE AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE-OFFSHORE,OIL,18525.0,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,762.2,,,,WRENCH,FOLD,792.7
TIA JUANA,LA ROSA-LAGUNILLAS (TIA JUANA ONSHORE AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,ONSHORE-OFFSHORE,OIL,,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,152.4,36.6,35.0,1200.0,WRENCH,SUBTLE STRUCTURE,426.8
TIFFANY,BRAE,UK,EUROPE,INVERSION,OFFSHORE,OIL,3705.0,JURASSIC,DEEP MARINE,SUBMARINE FAN LOBE,CONGLOMERATE,PRIMARY INTERGRANULAR,,,10.0,75.0,INVERSION,FOLD,3704.3
TIJERINA-CANALES-BLUCHER,VICKSBURG,USA,NORTH AMERICA,GRAVITY,ONSHORE,GAS,,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,LOW-RESISTIVITY SANDSTONE,SECONDARY INTRAGRANULAR,1006.1,,20.0,25.0,DELTA,FOLD,2408.5
TIMBALIER BAY,UNNAMED,USA,NORTH AMERICA,GRAVITY,ONSHORE-OFFSHORE,OIL,,NEOGENE,COASTAL,DELTA,SANDSTONE,PRIMARY INTERGRANULAR,,,30.0,,DELTA,FOLD,2210.4
TIN CUP MESA,PARADOX (UPPER ISMAY),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,1976.0,CARBONIFEROUS,ORGANIC BUILDUP,REEF MOUND,DOLOMITE,SHELTER,18.3,15.2,11.0,2.8,INTRACRATONIC,DEPOSITIONAL,1655.5
TIRRAWARRA,PATCHAWARRA,AUSTRALIA,FAR EAST,INVERSION,ONSHORE,GAS-CONDENSATE,24700.0,PERMIAN,FLUVIAL,MEANDERING RIVER,SANDSTONE,MICROPOROSITY,273.2,13.1,11.0,,INTRACRATONIC,FOLD,2646.3
TIRRAWARRA,TIRRAWARRA,AUSTRALIA,FAR EAST,INVERSION,ONSHORE,OIL,30875.0,CARBONIFEROUS-PERMIAN,FLUVIAL,BRAIDED RIVER,SANDSTONE,MICROPOROSITY,35.1,18.3,11.2,1.0,INTRACRATONIC,FOLD,2874.1
TOLON,NEDZHELIN-TAGANDZHIN-MONOM,RUSSIA,FORMER SOVIET UNION,TRANSPRESSION,ONSHORE,GAS,33592.0,TRIASSIC,FLUVIAL,MEANDERING RIVER,SANDSTONE,,500.0,37.5,17.0,28.0,PASSIVE MARGIN,FOLD,2500.0
TOMMELITEN GAMMA,TOR-EKOFISK,NORWAY,EUROPE,GRAVITY,OFFSHORE,GAS-CONDENSATE,3952.0,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,195.1,167.7,20.0,0.8,SALT,FOLD,2935.7
TONI,BRAE,UK,EUROPE,INVERSION,OFFSHORE,OIL,2964.0,JURASSIC,DEEP MARINE,SUBMARINE FAN LOBE,CONGLOMERATE,PRIMARY INTERGRANULAR,,,11.0,150.0,INVERSION,FOLD,3475.0
TOR,TOR-EKOFISK,NORWAY,EUROPE,GRAVITY,OFFSHORE,OIL,13338.0,CRETACEOUS-PALEOGENE,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,243.9,149.4,21.0,0.6,SALT,FOLD,2902.4
TROLL,SOGNEFJORD (VIKING),NORWAY,EUROPE,EXTENSION,OFFSHORE,GAS,469300.00000000006,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,134.1,,28.0,600.0,RIFT,FAULT,978.7
TUBRIDGI,FLACOURT-BIRDRONG,AUSTRALIA,FAR EAST,INVERSION,ONSHORE,GAS,28405.0,CRETACEOUS,COASTAL,SHORELINE,GLAUCONITIC SANDSTONE,PRIMARY INTERGRANULAR,12.5,9.5,28.5,1000.0,RIFT,FOLD,492.1
TUNU,BALIKPAPAN,INDONESIA,FAR EAST,INVERSION,OFFSHORE,GAS-CONDENSATE,666900.0,NEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,1493.9,,15.0,100.0,INVERSION,FOLD,2195.1
TURNER VALLEY,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,59761.65,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,OPEN SHELF,DOLOMITE,INTERCRYSTALLINE,137.2,90.2,8.2,7.0,SUB-THRUST,FOLD,914.6
