Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
ALPINE,ALPINE,USA,NORTH AMERICA,COMPRESSION,OIL,JURASSIC,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,15.2,14.9,20.0,15.0,2012.2
ALTAMONT-BLUEBELL,GREEN RIVER AND COLTON/WASATCH,USA,NORTH AMERICA,COMPRESSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,DEPOSITIONAL,FORELAND,2439.0,175.3,5.0,0.1,4649.4
ALWYN NORTH,BRENT (BRENT EAST),UK,EUROPE,INVERSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,270.1,104.9,17.0,500.0,2984.8
ALWYN NORTH,STATFJORD,UK,EUROPE,EXTENSION,GAS-CONDENSATE,TRIASSIC-JURASSIC,FLUVIAL,SANDSTONE,EROSIONAL,RIFT,264.9,156.1,13.5,330.0,3214.9
ANASAZI,PARADOX (DESERT CREEK),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,INTRACRATONIC,24.4,14.0,14.0,15.0,1699.7
ANDREW,LISTA (ANDREW SANDSTONE),UK,EUROPE,INVERSION,OIL,PALEOGENE,DEEP MARINE,SANDSTONE,FOLD,SALT,164.9,111.9,20.0,200.0,2315.5
ANETH,PARADOX (DESERT CREEK),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,INTRACRATONIC,30.5,15.2,10.0,15.0,1667.7
ANGUS,ANGUS SAND,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,30.5,18.3,18.0,3000.0,3088.4
ANKLESHWAR,ANKLESHWAR (HAZAD-ARDOL),INDIA,FAR EAST,STRIKE-SLIP,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,WRENCH,204.3,0.0,21.0,250.0,899.4
ANSCHUTZ RANCH EAST,NUGGET,USA,NORTH AMERICA,COMPRESSION,GAS-CONDENSATE,JURASSIC,DESERT,SANDSTONE,FOLD,SUB-THRUST,311.0,248.8,10.0,3.0,3771.3
