Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
PALM VALLEY,PACOOTA AND STAIRWAY,AUSTRALIA,FAR EAST,COMPRESSION,GAS,ORDOVICIAN,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,701.2,53.0,4.0,0.0,1724.4
PAMPO,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,GRAVITY,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,198.2,85.4,25.0,800.0,1762.5
PANNA,BASSEIN (ZONE B),INDIA,FAR EAST,EXTENSION,OIL,PALEOGENE,LOW-ENERGY CARBONATE MUD,LIMESTONE,FOLD,RIFT,260.1,25.0,21.0,10.0,1690.9
PARENTIS,UNNAMED,FRANCE,EUROPE,COMPRESSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,396.3,61.0,11.0,10.0,1997.0
PARRYLANDS,CRUSE-FOREST-MORE L ENFER,TRINIDAD AND TOBAGO,LATIN AMERICA,STRIKE-SLIP,OIL,NEOGENE,COASTAL,SANDSTONE,DEPOSITIONAL,WRENCH,1280.5,122.0,35.0,500.0,0.0
PATRICK DRAW,ALMOND,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,21.3,6.1,20.0,36.0,1311.0
PEACE RIVER,GETHING-OSTRACOD-BLUESKY,CANADA,NORTH AMERICA,COMPRESSION,BITUMEN,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,30.5,25.0,28.0,440.0,457.3
PECOS SLOPE,ABO,USA,NORTH AMERICA,COMPRESSION,GAS,PERMIAN,FLUVIAL,SANDSTONE,DEPOSITIONAL,FORELAND,99.1,9.1,13.0,0.0,693.6
PEEJAY,HALFWAY,CANADA,NORTH AMERICA,COMPRESSION,OIL,TRIASSIC,COASTAL,SANDSTONE,EROSIONAL,FORELAND,25.9,3.9,12.0,120.0,1158.5
PEMBINA,CARDIUM (PEMBINA RIVER),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,15.2,5.9,13.9,24.0,1219.5
PENAL-BARRACKPORE,HERRERA,TRINIDAD AND TOBAGO,LATIN AMERICA,STRIKE-SLIP,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,THRUST,609.8,304.9,25.0,100.0,640.2
PENWELL,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,122.0,36.0,11.0,3.0,990.9
PIPER,PIPER-SGIATH,UK,EUROPE,INVERSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,91.5,61.0,25.0,4000.0,2065.9
POKACHEV,MEGION (BV8),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,22.9,7.3,20.0,130.0,2390.5
POKACHEV,VARTOV (BV6),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,15.9,5.8,20.0,170.0,2295.4
POKACHEV,VARTOV-ALYM (AV1-2),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INTRACRATONIC,21.0,8.2,22.0,108.0,1838.4
PORT ACRES,LOWER HACKBERRY (FRIO),USA,NORTH AMERICA,GRAVITY,GAS-CONDENSATE,PALEOGENE,DEEP MARINE,SHALY SANDSTONE,EROSIONAL,DELTA,122.0,7.9,29.0,275.0,3163.4
PRIOB,ACHIMOV-VARTOV,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,DEEP MARINE,SANDSTONE,DEPOSITIONAL,INTRACRATONIC,396.3,42.7,19.0,3.6,2340.5
PRIRAZLOM,UNNAMED (UNITS I-II),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS-PERMIAN,ORGANIC BUILDUP,LIMESTONE,FOLD,INVERSION,201.2,45.7,19.0,120.0,2295.4
PROVOST,VIKING,CANADA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,21.3,1.8,22.0,82.0,731.7
PROVOST,VIKING (C POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,DEPOSITIONAL,FORELAND,21.3,1.2,25.0,170.0,899.4
QARUN,LOWER BAHARIYA,EGYPT,AFRICA,INVERSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,INVERSION,44.2,13.7,18.0,700.0,2576.2
QATIF,ARAB C,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,30.5,24.7,18.0,202.0,2103.7
QATIF,ARAB D,SAUDI ARABIA,MIDDLE EAST,COMPRESSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,30.5,25.3,15.0,310.0,2164.6
QUIRIQUIRE,QUIRIQUIRE,VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,NEOGENE,FLUVIAL,SANDSTONE,EROSIONAL,FORELAND,487.8,70.1,20.0,450.0,491.8
QUITMAN,PALUXY,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,SALT,122.0,10.7,22.0,600.0,1846.3
RAINBOW TREND,UPPER KEG RIVER-MUSKEG (RAINBOW A),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,230.5,122.0,11.8,37.0,1788.4
RAMA,BATURAJA,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,BACKARC,182.9,26.2,24.5,10.0,830.8
RAMADAN,NUBIA C,EGYPT,AFRICA,EXTENSION,OIL,PALEOZOIC,FLUVIAL,SANDSTONE,FAULT,SUB-SALT,396.3,228.7,15.0,100.0,3262.2
RAMAN,MARDIN-RAMAN,TURKEY,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,ORGANIC BUILDUP,LIMESTONE,FOLD,THRUST,53.4,35.1,14.0,10.0,1125.3
RAMBA,BATURAJA,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,INVERSION,50.0,16.5,17.0,2000.0,807.9
RANGELY,WEBER,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS-PERMIAN,DESERT,SANDSTONE,FOLD,THRUST,160.4,57.6,12.0,8.0,1676.8
RANTAU,KEUTAPANG-SEURULA,INDONESIA,FAR EAST,STRIKE-SLIP,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,BACKARC,609.8,33.5,25.0,120.0,280.5
RAS BUDRAN,NUBIAN,EGYPT,AFRICA,EXTENSION,OIL,CARBONIFEROUS-CRETACEOUS,FLUVIAL,SANDSTONE,FAULT,SUB-SALT,914.6,487.8,12.0,45.0,3201.2
RAVEN CREEK,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DESERT,SANDSTONE,EROSIONAL,FORELAND,30.5,11.3,12.0,50.0,2523.8
REDWATER,LEDUC,CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,243.9,30.5,8.0,100.0,939.0
RENQIU,WUMISHAN,CHINA,FAR EAST,EXTENSION,OIL,PROTEROZOIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,RIFT,2341.5,167.1,3.0,1.0,2599.7
RHOURDE EL BAGUEL,MENKEL /HASSAOUNA,ALGERIA,AFRICA,COMPRESSION,OIL,CAMBRIAN,FLUVIAL,SANDSTONE,FOLD,INTRACRATONIC,548.8,275.0,9.0,5.0,2500.0
RIMA,AL KHLATA,OMAN,MIDDLE EAST,GRAVITY,OIL,CARBONIFEROUS-PERMIAN,GLACIOGENIC,SANDSTONE,FOLD,SALT,76.2,30.5,25.0,500.0,906.4
RINCON,FRIO-VICKSBURG,USA,NORTH AMERICA,GRAVITY,OIL,PALEOGENE,FLUVIAL,SANDSTONE,FOLD,DELTA,304.9,45.7,26.0,80.0,1036.6
ROMASHKINO,PASHIY (D-1 POOL),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,DEVONIAN,COASTAL,SANDSTONE,FOLD,FORELAND,35.1,8.8,19.0,375.0,1665.5
RONCADOR,CARAPEBUS,BRAZIL,LATIN AMERICA,GRAVITY,OIL,CRETACEOUS,DEEP MARINE,SANDSTONE,FOLD,SALT,152.4,158.5,30.0,1000.0,1067.1
ROSEVEAR,SWAN HILLS,CANADA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,ORGANIC BUILDUP,DOLOMITE,DIAGENETIC,FORELAND,54.3,17.7,9.0,360.0,3132.9
ROURKE GAP,UPPER MINNELUSA (C SAND),USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,DESERT,SANDSTONE,DEPOSITIONAL,FORELAND,30.5,7.6,11.3,97.0,3117.4
RULISON,MESAVERDE (WILLIAMS FORK-ILES),USA,NORTH AMERICA,COMPRESSION,GAS,CRETACEOUS,FLUVIAL,SANDSTONE,FLUIDIC,FORELAND,1158.5,90.5,7.0,0.0,1676.8
SACHA,HOLLIN,ECUADOR,LATIN AMERICA,INVERSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,INVERSION,112.8,11.9,15.0,400.0,2850.6
SACHA,NAPO T-U SANDS,ECUADOR,LATIN AMERICA,INVERSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,INVERSION,97.6,14.0,16.0,400.0,2725.6
SAIH RAWL,BARIK,OMAN,MIDDLE EAST,COMPRESSION,GAS-CONDENSATE,CAMBRIAN-ORDOVICIAN,COASTAL,SANDSTONE,FOLD,SALT,213.4,137.2,9.0,7.0,4451.2
SAIH RAWL,SHUAIBA,OMAN,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,LOW-ENERGY CARBONATE MUD,CHALKY LIMESTONE,FOLD,SALT,61.0,33.5,27.0,7.0,1365.2
SALT CREEK,SECOND WALL CREEK SAND,USA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,30.5,21.6,19.0,52.0,396.3
SAMARANG,STAGES IVC-IVF,MALAYSIA,FAR EAST,GRAVITY,OIL,NEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,2054.6,152.4,23.0,250.0,359.8
SANAND,KALOL (PAYZONE K-III),INDIA,FAR EAST,INVERSION,OIL,PALEOGENE,COASTAL,SANDSTONE,FOLD,RIFT,125.0,6.1,28.0,1000.0,1200.9
SANTHAL,KALOL,INDIA,FAR EAST,INVERSION,OIL,PALEOGENE,FLUVIAL,SANDSTONE,DEPOSITIONAL,RIFT,45.1,20.1,28.0,7500.0,886.0
SATICOY,PICO-SANTA BARBARA,USA,NORTH AMERICA,COMPRESSION,OIL,NEOGENE,DEEP MARINE,SANDSTONE,DEPOSITIONAL,WRENCH,426.8,231.7,22.0,250.0,1524.4
SCAPA,VALHALL (SCAPA SANDSTONE),UK,EUROPE,EXTENSION,OIL,CRETACEOUS,DEEP MARINE,THINLY-BEDDED SANDSTONE,FAULT,RIFT,122.0,29.9,20.0,250.0,2293.6
SCHOONEBEEK-EMLICHHEIM,VLIELAND (BENTHEIM),NETHERLANDS /GERMANY,EUROPE,INVERSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,INVERSION,30.5,21.3,32.0,7000.0,731.7
SCOTT,SGIATH-PIPER,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,109.8,88.4,16.0,100.0,3030.5
SERANG,BALIKPAPAN (UPPER DELTAIC SEQUENCE),INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,SANDSTONE,FAULT,BACKARC,152.4,54.9,28.0,1628.0,1730.2
SHANSHAN,SANJIANFANG,CHINA,FAR EAST,COMPRESSION,OIL,JURASSIC,LACUSTRINE,SANDSTONE,FOLD,FORELAND,289.9,20.4,12.0,7.9,2800.6
SHATLYK,SHATLYK (SHATLYK EAST),TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,45.1,19.2,21.8,222.0,3353.7
SHATLYK,SHATLYK (SHATLYK WEST),TURKMENISTAN,FORMER SOVIET UNION,COMPRESSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,FOLD,FORELAND,45.1,32.3,21.8,222.0,3192.1
SIDKI,NUBIA,EGYPT,AFRICA,EXTENSION,OIL,PALEOZOIC-CRETACEOUS,COASTAL,SANDSTONE,FAULT,RIFT,259.1,213.4,13.0,60.0,2782.0
SIRIKIT,LAN KRABU,THAILAND,FAR EAST,STRIKE-SLIP,OIL,NEOGENE,LACUSTRINE,SANDSTONE,FOLD,WRENCH,540.2,79.9,20.0,50.0,1409.5
SITIO GRANDE,TAMABRA,MEXICO,LATIN AMERICA,COMPRESSION,OIL,CRETACEOUS,FORESLOPE,DOLOMITE,FOLD,WRENCH,396.3,125.0,8.0,135.0,3792.7
SLAUGHTER,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,DEPOSITIONAL,FORELAND,274.4,21.3,12.0,10.0,1554.9
SNAPPER,LATROBE (N-1 UNIT),AUSTRALIA,FAR EAST,INVERSION,GAS-CONDENSATE,PALEOGENE,FLUVIAL,SANDSTONE,EROSIONAL,INVERSION,250.0,120.1,24.0,2000.0,1122.6
SNIPE LAKE,SWAN HILLS (BEAVERHILL LAKE POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,FORELAND,56.4,10.4,6.8,54.0,2591.5
SOUTH BELRIDGE,BELRIDGE DIATOMITE (MONTEREY-ETCHEGOIN),USA,NORTH AMERICA,COMPRESSION,OIL,NEOGENE,DEEP MARINE,DIATOMITE,FOLD,THRUST,304.9,274.4,55.0,1.5,182.9
SOUTH COWDEN,GRAYBURG,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,DEPOSITIONAL,FORELAND,122.0,27.4,8.8,15.0,1250.0
SOUTH LAKE ARTHUR,FRIO (MIOGYP),USA,NORTH AMERICA,GRAVITY,GAS,PALEOGENE,COASTAL,SANDSTONE,FOLD,DELTA,182.9,25.0,19.0,100.0,5030.5
SOUTH TIMBALIER 295,K SANDS,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,DELTA,182.9,32.6,31.0,500.0,3021.3
SREDNEBOTUOBIN,BOTUOBIN,RUSSIA,FORMER SOVIET UNION,INVERSION,OIL,PROTEROZOIC,COASTAL,SANDSTONE,FOLD,INVERSION,30.5,7.0,18.0,120.0,1880.5
STAG,M. AUSTRALIS,AUSTRALIA,FAR EAST,INVERSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FOLD,RIFT,22.0,17.1,35.0,2000.0,627.1
STATFJORD,BRENT,NORWAY /UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,213.4,149.4,27.0,2500.0,2215.5
STATFJORD,STATFJORD,NORWAY /UK,EUROPE,EXTENSION,OIL,TRIASSIC-JURASSIC,FLUVIAL,SANDSTONE,EROSIONAL,RIFT,225.6,109.8,22.0,470.0,2430.5
STRACHAN,LEDUC,CANADA,NORTH AMERICA,COMPRESSION,GAS,DEVONIAN,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,FORELAND,274.4,163.1,7.8,11.0,3679.3
SUFFIELD,UPPER MANNVILLE (J POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,22.1,11.1,27.0,1000.0,899.4
SUIZHONG 36-1,DONGYING,CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FOLD,RIFT,298.8,48.8,32.0,2600.0,1298.5
SUNNILAND TREND,SUNNILAND LIMESTONE (WEST FELDA FIELD),USA,NORTH AMERICA,EXTENSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,PASSIVE MARGIN,24.4,5.2,15.0,90.0,3464.6
SUNRISE-TROUBADOUR,PLOVER,AUSTRALIA,FAR EAST,EXTENSION,GAS-CONDENSATE,JURASSIC,COASTAL,SANDSTONE,FOLD,WRENCH,180.2,85.1,14.0,28.0,2030.5
TABER NORTH,LOWER MANNVILE (O POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,EROSIONAL,FORELAND,57.9,5.5,17.0,1000.0,929.9
TABER NORTH,UPPER MANNVILE (A POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,FORELAND,50.3,10.7,25.0,2000.0,929.9
TAGLU,REINDEER,CANADA,NORTH AMERICA,INVERSION,GAS,PALEOGENE,COASTAL,SANDSTONE,FAULT,DELTA,600.6,130.2,17.0,150.0,2250.6
TAKULA,VERMELHA,ANGOLA,AFRICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,FOLD,PASSIVE MARGIN,167.7,53.4,25.0,1000.0,873.5
TALCO,PALUXY,USA,NORTH AMERICA,GRAVITY,OIL,CRETACEOUS,COASTAL,SANDSTONE,FAULT,SALT,83.8,13.4,25.0,2460.0,1237.5
TALIN,TYUMEN (JUK10-JUK11),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,JURASSIC,FLUVIAL,SANDSTONE,DEPOSITIONAL,INTRACRATONIC,33.5,20.1,15.0,160.0,2560.7
TANGENT,WABAMUM,CANADA,NORTH AMERICA,EXTENSION,OIL,DEVONIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,DIAGENETIC,FORELAND,222.6,39.6,5.0,0.3,1798.8
TEAGUE TOWNSITE,COTTON VALLEY LIME,USA,NORTH AMERICA,GRAVITY,GAS,JURASSIC,HIGH-ENERGY CARBONATE SAND,CHALKY LIMESTONE,DEPOSITIONAL,SALT,106.7,22.0,10.0,0.1,3628.0
TEMSAH,SIDI SALIM,EGYPT,AFRICA,STRIKE-SLIP,GAS-CONDENSATE,NEOGENE,DEEP MARINE,SANDSTONE,FOLD,WRENCH,100.0,39.9,24.5,390.0,3777.4
TERN,BRENT,UK,EUROPE,INVERSION,OIL,JURASSIC,COASTAL,SANDSTONE,FAULT,RIFT,83.2,51.8,22.0,350.0,2211.0
THISTLE,BRENT,UK,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,144.8,115.9,24.0,1200.0,2429.9
THREE BAR,THIRTYONE,USA,NORTH AMERICA,COMPRESSION,OIL,DEVONIAN,DEEP MARINE,CHERT,EROSIONAL,FORELAND,39.6,21.3,15.0,5.0,2469.5
TIA JUANA,LA ROSA-LAGUNILLAS (TIA JUANA ONSHORE AREA),VENEZUELA,LATIN AMERICA,COMPRESSION,OIL,NEOGENE,COASTAL,SANDSTONE,SUBTLE STRUCTURE,WRENCH,152.4,36.6,35.0,1200.0,426.8
TIN CUP MESA,PARADOX (UPPER ISMAY),USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,ORGANIC BUILDUP,DOLOMITE,DEPOSITIONAL,INTRACRATONIC,18.3,15.2,11.0,2.8,1655.5
TIRRAWARRA,TIRRAWARRA,AUSTRALIA,FAR EAST,INVERSION,OIL,CARBONIFEROUS-PERMIAN,FLUVIAL,SANDSTONE,FOLD,INTRACRATONIC,35.1,18.3,11.2,1.0,2874.1
TOLON,NEDZHELIN-TAGANDZHIN-MONOM,RUSSIA,FORMER SOVIET UNION,TRANSPRESSION,GAS,TRIASSIC,FLUVIAL,SANDSTONE,FOLD,PASSIVE MARGIN,500.0,37.5,17.0,28.0,2500.0
TOMMELITEN GAMMA,TOR-EKOFISK,NORWAY,EUROPE,GRAVITY,GAS-CONDENSATE,CRETACEOUS-PALEOGENE,FORESLOPE,CHALK,FOLD,SALT,195.1,167.7,20.0,0.8,2935.7
TOR,TOR-EKOFISK,NORWAY,EUROPE,GRAVITY,OIL,CRETACEOUS-PALEOGENE,FORESLOPE,CHALK,FOLD,SALT,243.9,149.4,21.0,0.6,2902.4
TUBRIDGI,FLACOURT-BIRDRONG,AUSTRALIA,FAR EAST,INVERSION,GAS,CRETACEOUS,COASTAL,GLAUCONITIC SANDSTONE,FOLD,RIFT,12.5,9.5,28.5,1000.0,492.1
TURNER VALLEY,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,SUB-THRUST,137.2,90.2,8.2,7.0,914.6
UCHKYR,XIV-1,UZBEKISTAN,FORMER SOVIET UNION,INVERSION,GAS,CRETACEOUS,COASTAL,SANDSTONE,EROSIONAL,INVERSION,29.9,7.0,16.0,65.0,1548.2
UCHKYR,XV-1,UZBEKISTAN,FORMER SOVIET UNION,INVERSION,GAS,JURASSIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,INVERSION,25.0,18.0,16.0,61.0,1659.5
UCHKYR,XV-2,UZBEKISTAN,FORMER SOVIET UNION,INVERSION,GAS,JURASSIC,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,INVERSION,61.0,6.1,13.0,7.3,1691.5
ULA,ULA,NORWAY,EUROPE,INVERSION,OIL,JURASSIC,COASTAL,SANDSTONE,FOLD,SALT,125.0,114.9,16.5,300.0,3275.6
UPPER VALLEY,KAIBAB-TIMPOWEAP,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN-TRIASSIC,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FLUIDIC,FORELAND,76.2,9.1,11.0,21.0,1936.0
URENGOY,POKUR (PK1-6),RUSSIA,FORMER SOVIET UNION,COMPRESSION,GAS,CRETACEOUS,FLUVIAL,SANDSTONE,FOLD,INTRACRATONIC,213.4,134.1,30.0,330.0,1071.3
URIKHTAU,KT-I,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITIC LIMESTONE,FOLD,SUB-SALT,425.0,79.9,12.0,140.0,2527.4
USA,AFONIN,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,DEVONIAN,COASTAL,SANDSTONE,EROSIONAL,INVERSION,75.9,27.1,12.5,120.0,2991.8
UZEN,UNITS XIII-XVIII,KAZAKHSTAN,FORMER SOVIET UNION,INVERSION,OIL,JURASSIC,FLUVIAL,SANDSTONE,FOLD,INVERSION,280.5,132.9,21.0,235.0,1048.8
VACUUM,SAN ANDRES,USA,NORTH AMERICA,COMPRESSION,OIL,PERMIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,112.8,45.7,12.0,17.0,1295.7
VALDEMAR,TUXEN-SOLA,DENMARK,EUROPE,INVERSION,OIL,CRETACEOUS,FORESLOPE,CHALK,FOLD,INVERSION,85.4,76.2,25.0,0.5,2153.4
VALHALL,HOD-TOR,NORWAY,EUROPE,INVERSION,OIL,CRETACEOUS,FORESLOPE,CHALK,FOLD,INVERSION,146.3,125.0,35.0,2.0,2331.7
VALHALLA,KASKAPAU (DOE CREEK I POOL),CANADA,NORTH AMERICA,COMPRESSION,OIL,CRETACEOUS,COASTAL,SANDSTONE,DEPOSITIONAL,FORELAND,3.4,3.7,23.0,210.0,750.0
VAREGAN,MEGION-VAREGAN (A5-B10),RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CRETACEOUS,FLUVIAL,SANDSTONE,FOLD,INTRACRATONIC,960.4,130.8,23.6,187.0,1700.3
VENTURE,MIC MAC-MISSISAUGA,CANADA,NORTH AMERICA,GRAVITY,GAS,JURASSIC-CRETACEOUS,COASTAL,SANDSTONE,FOLD,PASSIVE MARGIN,1600.3,152.4,14.0,30.0,4338.7
VERKHNECHONA,DANILOV (PREOBRAZHEN HZ),RUSSIA,FORMER SOVIET UNION,INVERSION,OIL,PROTEROZOIC-CAMBRIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,FOLD,INVERSION,14.0,10.1,11.0,83.0,1540.2
VERKHNECHONA,NEPA (VCH1-VCH2),RUSSIA,FORMER SOVIET UNION,INVERSION,OIL,PROTEROZOIC,COASTAL,SANDSTONE,FOLD,INVERSION,61.0,7.6,10.0,209.0,1590.2
VERMEJO-MOORE HOOPER,FUSSELMAN-WINK,USA,NORTH AMERICA,COMPRESSION,GAS,SILURIAN,HIGH-ENERGY CARBONATE SAND,DOLOMITE,FOLD,FORELAND,38.7,10.4,5.0,5.0,5617.4
VESLEFRIKK,BRENT,NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,130.2,85.1,18.0,800.0,2575.3
VESLEFRIKK,DUNLIN (INTRA DUNLIN SAND),NORWAY,EUROPE,EXTENSION,OIL,JURASSIC,COASTAL,SANDSTONE,EROSIONAL,RIFT,17.4,7.9,22.0,200.0,2845.4
VICTOR,LEMAN SANDSTONE,UK,EUROPE,INVERSION,GAS,PERMIAN,DESERT,SANDSTONE,FAULT,SUB-SALT,114.3,112.5,16.0,52.0,2492.4
VICTORY,LANSING-KANSAS CITY,USA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,45.7,3.0,22.0,85.0,1242.4
VILLEPERDUE,DALLE NACREE,FRANCE,EUROPE,EXTENSION,OIL,JURASSIC,HIGH-ENERGY CARBONATE SAND,LIMESTONE,DEPOSITIONAL,INTRACRATONIC,22.9,18.3,14.0,10.0,1826.2
VIRDEN,LODGEPOLE,CANADA,NORTH AMERICA,COMPRESSION,OIL,CARBONIFEROUS,LOW-ENERGY CARBONATE MUD,LIMESTONE,EROSIONAL,INTRACRATONIC,100.6,6.1,10.0,35.0,583.8
WAFRA,MINAGISH,NEUTRAL ZONE,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,FORELAND,198.2,61.0,21.5,100.0,2006.1
WANDOO,M. AUSTRALIS,AUSTRALIA,FAR EAST,INVERSION,OIL,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,FAULT,RIFT,50.0,29.9,32.0,7500.0,505.2
WANGCHANG,QIANJIANG,CHINA,FAR EAST,EXTENSION,OIL,PALEOGENE,LACUSTRINE,SANDSTONE,FOLD,RIFT,1798.8,8.5,18.3,386.0,738.1
WANGZHUANG,TAISHAN,CHINA,FAR EAST,EXTENSION,OIL,ARCHEAN,BASEMENT,BASEMENT,EROSIONAL,RIFT,200.0,57.9,1.8,7.8,1472.3
